Product Reference,Product Name,Quantity,Unit of Measure,Vendor part number
,"Black-Oxide Alloy Steel Socket Head Screw, M3 x 0.5 mm Thread, 14 mm Long",2,PCE,91290A119
HD-BT0185,"Black-Oxide Alloy Steel Socket Head Screw M3 x 0.5 mm Thread, 16 mm Long",4,PCE,91290A120
,"Black-Oxide Alloy Steel Socket Head Screw, M3 x 0.5 mm Thread, 40 mm Long",2,PCE,91290A136
HD-NT0004,"M3 Nut, Steel, Zinc Plated",6,PCE,90591A250
,"18-8 Stainless Steel Square Nut, 6-32 Thread Size",5,PCE,94785A007
,"18-8 Stainless Steel Threaded Rod, 6-32 Thread Size, 4"" Long",1,PCE,95412A423
,Replistruder Core,1,PCE,
,Lead Screw Gear,1,PCE,
,Gear Plate,1,PCE,
,Nema 17 Gear,1,PCE,
,Lulzbot Mini 2 Sliding Motor Bracket,1,PCE,
,Lulzbot Mini 2 Carriage Mount,1,PCE,
,2.5mL Syringe Plate,1,PCE,
,Clutch,1,PCE,
,Arrestor,1,PCE,
,2.5mL Syringe Collar,1,PCE,
